instrument,timestamp,session,setup_type,side,pnl,return_risk_adj,win,risk_rub,entry_qty,signal_score,raw_impulse_strength,raw_atr_expansion,raw_retest_speed,raw_htf_score,raw_ema_distance,raw_candle_structure,entry_bar,alpha_liq_sweep_bear,alpha_liq_sweep_bull,alpha_atr_ratio_short_long,alpha_vol_roll_pctile,alpha_compression,alpha_expand_after_compress,alpha_hour_norm,alpha_session_bucket,alpha_wick_upper_ratio,alpha_wick_lower_ratio,alpha_body_ratio,alpha_range_position
history_1h_24m,2025-11-20 17:00:00+00:00,day,pullback,LONG,-260.410122805725,-1.1235400623874026,0,231.77644618419865,1.0080000000000002,0.6132613587369484,1.470790378006873,0.9822978717539032,0.0,1.0,2.808984143641804,1.0,299,0.0,0.0,0.25946636349341917,0.86,0.040000000000000036,0.0,0.7083333333333334,0.6666666666666666,0.0,0.0,1.0,0.5611285266457681
history_1h_24m,2026-01-19 13:00:00+00:00,day,retest_fast,LONG,62.46457844458836,1.3005646127745734,1,48.02881597041833,0.85,0.7037591213109727,0.4774774774774775,1.4355445981566894,1.0,1.0,-1.468882063022789,0.5967741935483871,766,0.0,0.0,0.16085947245905208,0.36,0.040000000000000036,0.0,0.5416666666666666,0.6666666666666666,0.0,0.4032258064516129,0.5967741935483871,0.6696428571428571
history_1h_24m,2026-01-22 15:00:00+00:00,day,pullback,LONG,-121.8738285536948,-1.2980185172572756,0,93.89221103811005,1.0080000000000002,0.7944947916666667,0.23958333333333334,1.4240959697705375,0.0,1.0,-0.05546758654383284,1.0,811,0.0,0.0,0.24701284762045778,0.62,0.38,0.0,0.625,0.6666666666666666,0.0,0.0,1.0,0.803921568627451
history_1h_24m,2026-01-23 08:00:00+00:00,morning,pullback,LONG,-123.3087314554437,-1.2935357753672039,0,95.32688140800691,1.0080000000000002,0.7158371877090333,0.25,0.9837032606240028,0.0,1.0,0.05505385331804171,1.0,819,0.0,0.0,0.24609680910298765,0.46,0.38,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,0.8071895424836601
history_1h_24m,2026-02-18 08:00:00+00:00,morning,retest_fast,LONG,86.19630744579308,0.7313589095034387,1,117.85773896473985,1.12,0.5547394506674851,0.3323615160349854,1.270816668204814,1.0,1.0,3.5187034301044835,0.2894736842105263,1102,1.0,0.0,0.25809471939000117,0.98,0.16000000000000003,0.0,0.3333333333333333,0.3333333333333333,0.4298245614035088,0.2807017543859649,0.2894736842105263,0.8038277511961722
history_1h_24m,2026-02-24 09:00:00+00:00,morning,retest_fast,LONG,19.296818749490242,0.40015650826585986,1,48.223178558599464,0.85,0.5654752155172414,0.4943181818181818,1.7365551022612324,2.0,1.0,7.3016136228813595,0.8160919540229885,1172,0.0,0.0,0.15149612884888028,0.5,0.09999999999999998,0.0,0.375,0.3333333333333333,0.0,0.1839080459770115,0.8160919540229885,0.6862170087976539
history_1h_24m,2026-02-26 18:00:00+00:00,evening,retest_fast,SHORT,186.25225348192126,2.288428654353318,1,81.38870885382873,1.12,0.7960761975314493,0.16666666666666666,1.1009006983435077,2.0,1.0,-2.218498517613554,0.7407407407407407,1212,0.0,0.0,0.22460022583562128,0.94,0.76,0.0,0.75,1.0,0.25925925925925924,0.0,0.7407407407407407,0.19689119170984457
history_1h_24m,2026-03-19 07:00:00+00:00,morning,pullback,LONG,-123.54499530770201,-1.3057273206152462,0,94.61776081202682,1.0080000000000002,0.5576226016264567,1.0522388059701493,0.9631264627301894,0.0,1.0,2.714435998538579,0.723404255319149,1470,0.0,1.0,0.2668361538952999,0.8,0.09999999999999998,0.0,0.2916666666666667,0.3333333333333333,0.0425531914893617,0.23404255319148937,0.723404255319149,0.76875
