instrument,timestamp,session,setup_type,side,pnl,return_risk_adj,win,risk_rub,entry_qty,signal_score,raw_impulse_strength,raw_atr_expansion,raw_retest_speed,raw_htf_score,raw_ema_distance,raw_candle_structure
history_5m_6m,2025-10-16 18:00:00+00:00,evening,continuation,LONG,-373.2902593802202,-1.0883839780184146,0,342.9766212287117,1.064,0.5861604346643734,0.04634581105169341,1.1911593897324353,0.0,1.0,3.6727834551676204,1.0
history_5m_6m,2025-12-17 08:10:00+00:00,morning,pullback,LONG,66.91685283947297,1.1591861603277716,1,57.72744286435541,1.0080000000000002,0.7210000000000001,87.75,1.8642278072483431,0.0,1.0,9.69772043359772,1.0
history_5m_6m,2026-02-13 09:25:00+00:00,morning,retest_late,LONG,10.777079731780738,0.34367345993115156,1,31.358487018286837,1.12,0.612837000897732,1.2045454545454546,0.9181427704693975,5.0,1.0,-2.4582828352883075,0.8301886792452831
history_5m_6m,2026-02-17 20:45:00+00:00,evening,pullback,LONG,-52.48862088148558,-2.1623097137761964,0,24.274330613731063,1.0080000000000002,0.5518976178411077,0.88,1.0508097600443203,0.0,1.0,6.4763282668380056,0.5
history_5m_6m,2026-02-18 09:25:00+00:00,morning,pullback,LONG,21.30629300840303,0.5398797409106206,1,39.464887073675875,1.0080000000000002,0.5173705882352941,0.27058823529411763,0.8943563755630647,0.0,1.0,6.059593062933558,1.0
history_5m_6m,2026-02-20 10:50:00+00:00,morning,pullback,LONG,7.820309609241367,0.24701144016374263,1,31.659706141777576,1.0080000000000002,0.5661966547661461,0.5443037974683544,1.0140726894622094,0.0,1.0,8.533123743881276,1.0
history_5m_6m,2026-03-09 06:35:00+00:00,night,pullback,LONG,63.2449942762127,1.8252959763417136,1,34.64917202248443,1.0080000000000002,0.498622419578855,0.16556291390728478,1.0598187085920454,0.0,1.0,3.4296342362939196,0.36
history_5m_6m,2026-03-12 08:10:00+00:00,morning,pullback,LONG,-9.913491175333341,-0.45357260922136167,0,21.856459084581008,1.0080000000000002,0.5867367116642528,1.173913043478261,1.1287903069377403,0.0,1.0,5.534917696953007,0.4444444444444444
history_5m_6m,2026-03-18 09:00:00+00:00,morning,pullback,LONG,-68.38620588455919,-1.7326487846963747,0,39.46916795173987,1.0080000000000002,0.4766056560436406,0.5308641975308642,0.8911743207963546,0.0,1.0,5.955228399413568,0.37209302325581395
history_5m_6m,2026-03-19 07:45:00+00:00,morning,pullback,LONG,42.114353664046085,1.5346635417593197,1,27.442076076015137,1.0080000000000002,0.5214042939639116,0.4067796610169492,1.0972519552054056,0.0,1.0,5.760060993325702,0.3333333333333333
history_5m_6m,2026-03-19 07:50:00+00:00,morning,pullback,LONG,-61.790972933759775,-1.8809391670934168,0,32.85112778487372,1.0080000000000002,0.6821615882689012,1.5084745762711864,1.3382292623835352,0.0,1.0,7.258779109273833,0.898876404494382
history_5m_6m,2026-03-19 08:20:00+00:00,morning,pullback,LONG,-64.51170110856204,-1.811902142949178,0,35.60440687131056,1.0080000000000002,0.5063166206077643,0.29213483146067415,1.0765914592346466,0.0,1.0,4.879280880198282,0.3076923076923077
history_5m_6m,2026-03-20 07:45:00+00:00,morning,pullback,LONG,3.9508490614409304,0.18607908225581862,1,21.232096663123933,1.0080000000000002,0.5614856881470747,0.8148148148148148,1.1275749849637253,0.0,1.0,7.243349759535725,0.4090909090909091
history_5m_6m,2026-03-20 12:50:00+00:00,day,pullback,LONG,-53.526168136368604,-2.172729226869144,0,24.635452717455575,1.0080000000000002,0.5446867184687111,0.896551724137931,0.9238743536678837,0.0,1.0,5.173989382126238,0.8076923076923077
history_5m_6m,2026-03-23 06:50:00+00:00,night,pullback,LONG,-58.54129531339417,-1.9681349741039544,0,29.74455313464802,1.0080000000000002,0.5478940758577515,0.34328358208955223,0.9546513225613559,0.0,1.0,2.3518485807185505,1.0
history_5m_6m,2026-03-23 12:15:00+00:00,day,pullback,LONG,-92.2435249703007,-1.444674716891737,0,63.85072285944446,1.0080000000000002,0.7251865217515239,0.675,0.9648702789195289,0.0,1.0,-1.8042106319465319,0.8333333333333334
history_5m_6m,2026-03-24 09:20:00+00:00,morning,pullback,LONG,10.632260997480607,0.32756716163047317,1,32.458262740862914,1.0080000000000002,0.8555544554455446,2.72972972972973,1.2502431501602407,0.0,1.0,-3.250101756048214,0.49504950495049505
history_5m_6m,2026-03-24 10:00:00+00:00,morning,pullback,LONG,-62.19029476348908,-1.8392478532214163,0,33.81289512153768,1.0080000000000002,0.708442614263033,0.21782178217821782,1.0227437339750374,0.0,1.0,-3.705174048177594,0.7727272727272727
history_5m_6m,2026-03-24 11:00:00+00:00,morning,pullback,LONG,-62.100853829905574,-1.840683068494482,0,33.73793940566784,1.0080000000000002,0.6638305997132771,0.29333333333333333,0.9211874584292473,0.0,1.0,-4.048514412964283,0.5454545454545454
history_5m_6m,2026-03-25 15:45:00+00:00,day,pullback,LONG,-51.247201116991164,-2.242914985148265,0,22.848481309514963,1.0080000000000002,0.7372137378005491,0.896551724137931,0.9436862712746147,0.0,1.0,-4.527110969852042,0.8846153846153846
history_5m_6m,2026-03-26 09:05:00+00:00,morning,pullback,LONG,-67.20489491034141,-1.728721705462761,0,38.87548510438315,1.0080000000000002,0.7050178650595829,0.27450980392156865,0.9830152290183308,0.0,1.0,-3.397433970336154,0.8214285714285714
history_5m_6m,2026-03-27 14:05:00+00:00,day,pullback,LONG,-73.28587951898425,-1.6141913244141854,0,45.40098711382977,1.0080000000000002,0.7724959082524128,0.6483516483516484,1.2034392368319464,0.0,1.0,-7.481483684779767,0.6271186440677966
history_5m_6m,2026-03-28 15:00:00+00:00,day,pullback,LONG,-2.62475024842,-0.31641870235421127,0,8.295180496258256,1.0080000000000002,0.8590000000000001,30.0,2.1225396767737412,0.0,1.0,-37.46915502699638,0.5333333333333333
history_5m_6m,2026-03-30 07:10:00+00:00,morning,retest_fast,SHORT,-82.16268551574298,-2.7600659015340074,0,29.768378164477184,1.12,0.550266355140187,0.2523364485981308,1.86498078670919,1.0,1.0,12.390789318971411,0.2962962962962963
history_5m_6m,2026-03-30 09:05:00+00:00,morning,pullback,LONG,36.72357951194804,0.758505827637002,1,48.41568538287201,1.0080000000000002,0.8568181818181819,2.7049180327868854,1.306696189878917,0.0,1.0,-5.471248753388131,0.509090909090909
history_5m_6m,2026-03-30 11:25:00+00:00,morning,pullback,LONG,-68.35178192616601,-1.6995978329069514,0,40.2164445039676,1.0080000000000002,0.6440200006865651,0.47368421052631576,0.9272060984754514,0.0,1.0,-4.465208240638374,0.18518518518518517
history_5m_6m,2026-03-31 08:20:00+00:00,morning,pullback,LONG,-53.46168242567863,-2.1031666152803403,0,25.419613471067052,1.0080000000000002,0.7803739483777301,0.7419354838709677,1.182551232063447,0.0,1.0,-8.399844066052946,0.717391304347826
history_5m_6m,2026-04-01 06:00:00+00:00,night,pullback,LONG,-8.74360597062822,-0.3908248691900511,0,22.372184218339395,1.0080000000000002,0.8547613529962548,1.8541666666666667,2.0622561424595904,0.0,1.0,-6.548536357095902,0.5842696629213483
history_5m_6m,2026-04-02 09:15:00+00:00,morning,pullback,LONG,-57.764897152713445,-1.958970566049931,0,29.487373702194315,1.0080000000000002,0.7464376806257129,0.4307692307692308,1.0505722197723335,0.0,1.0,-2.3845068481559983,0.9642857142857143
history_5m_6m,2026-04-03 07:20:00+00:00,morning,pullback,LONG,-51.74884372931152,-2.2106946443246973,0,23.40840869278863,1.0080000000000002,0.7381735372856095,1.0833333333333333,0.9560800398727195,0.0,1.0,-1.4348040541379983,0.7307692307692307
