instrument,timestamp,session,setup_type,side,pnl,return_risk_adj,win,risk_rub,entry_qty,signal_score,raw_impulse_strength,raw_atr_expansion,raw_retest_speed,raw_htf_score,raw_ema_distance,raw_candle_structure
history_15m_6m,2025-10-09 06:45:00+00:00,night,pullback,LONG,-263.9807215649382,-1.1165380925800616,0,236.4278687124232,1.0080000000000002,0.6591276038872713,0.2797979797979798,0.9485349029268371,0.0,1.0,0.5174702741457887,0.8303249097472925
history_15m_6m,2026-01-15 08:00:00+00:00,morning,retest_fast,SHORT,14.689664185086961,0.2361129450584368,1,62.214565073724955,1.12,0.5765776584596685,0.6435643564356436,1.1396823370424785,1.0,1.0,5.039800285799116,0.9230769230769231
history_15m_6m,2026-02-18 10:45:00+00:00,morning,pullback,LONG,26.813916768143606,0.3693048364488638,1,72.60645981779993,1.0080000000000002,0.6450616714870727,1.2758620689655173,1.2138117966898259,0.0,1.0,4.1816675063582815,0.7567567567567568
history_15m_6m,2026-02-25 14:45:00+00:00,day,pullback,LONG,43.9872071322054,1.2840502818670407,1,34.256607979748985,1.0080000000000002,0.5581615907116109,0.47058823529411764,1.0610919279465745,0.0,1.0,9.713816718145347,0.8125
history_15m_6m,2026-03-09 07:00:00+00:00,morning,pullback,LONG,-76.80852637326629,-1.5891293480593123,0,48.33371585961013,1.0080000000000002,0.6377838221381268,0.695364238410596,1.6863435725068383,0.0,1.0,4.571655171936714,0.9523809523809523
history_15m_6m,2026-03-09 15:30:00+00:00,day,pullback,LONG,-71.70736959041406,-1.6615425866569993,0,43.15710603282718,1.0080000000000002,0.5718843969283941,2.2162162162162162,1.0371251776108539,0.0,1.0,5.259203274701063,0.012195121951219513
history_15m_6m,2026-03-11 06:45:00+00:00,night,pullback,LONG,20.468596437600027,0.36671085220218075,1,55.81671857999709,1.0080000000000002,0.7034528301886793,2.1486486486486487,1.294189447976597,0.0,1.0,4.003378001160977,0.8050314465408805
history_15m_6m,2026-03-18 12:15:00+00:00,day,pullback,LONG,-85.8776055226911,-1.508336804691528,0,56.93529804190785,1.0080000000000002,0.5596425786874404,1.0126582278481013,0.9742486319789958,0.0,1.0,4.495211380828892,0.7375
history_15m_6m,2026-03-27 08:15:00+00:00,morning,retest_fast,SHORT,258.0817044949583,4.3101839290080655,1,59.87719056674978,1.12,0.5580425899280574,0.3597122302158273,1.2867237816869135,1.0,1.0,5.317267964258661,0.32
history_15m_6m,2026-03-27 15:30:00+00:00,day,pullback,LONG,-93.4531130733394,-1.4259472205303403,0,65.53756810057962,1.0080000000000002,0.6882467351040149,0.6354166666666666,0.9357618763957697,0.0,1.0,-4.803337045315537,0.5409836065573771
history_15m_6m,2026-04-01 13:45:00+00:00,day,pullback,LONG,26.515529896913744,0.47072479579459975,1,56.32915481359891,1.0080000000000002,0.6786742984689834,0.3780487804878049,0.923820615072259,0.0,1.0,-0.8019968789072576,0.6451612903225806
