variant,n_trades,profit_factor,total_pnl_net_rub,pnl_without_top_1_trade,winrate,delta_pf_vs_baseline,delta_pnl_wo_top1_vs_baseline,classification
baseline_all_factors,6,0.1729558269658321,-237.6122852437868,-255.6076938951081,0.5,0.0,0.0,baseline
drop_impulse_strength,9,0.775837375068232,-70.38821668963482,-227.84448117945988,0.6666666666666666,0.6028815481023999,27.763212715648223,harmful
drop_atr_expansion,5,0.19296798748377172,-209.36829773887075,-229.14271670536013,0.6,0.020012160517939637,26.46497718974797,harmful
drop_retest_speed,6,0.17362932900243108,-248.71605484206603,-267.67378501359775,0.5,0.0006735020365989941,-12.066091118489652,neutral
drop_htf_score,2,0.22584668962233498,-44.154005671080796,-57.035221679205364,0.5,0.05289086265650289,198.57247221590274,harmful
drop_ema_distance,11,0.6895972047504848,-121.84043053066907,-297.4752875909302,0.5454545454545454,0.5166413777846527,-41.86759369582208,harmful
drop_candle_structure,6,0.9481594844286119,-11.4978193381334,-181.69407657684226,0.6666666666666666,0.7752036574627797,73.91361731826584,harmful
