variant,n_trades,profit_factor,total_pnl_net_rub,pnl_without_top_1_trade,winrate,delta_pf_vs_baseline,delta_pnl_wo_top1_vs_baseline,classification
baseline_all_factors,17,0.18603208286456246,-417.47407123082127,-465.7211221280813,0.23529411764705882,0.0,0.0,baseline
drop_impulse_strength,20,0.11390989805338113,-751.9704149482993,-797.6474476032297,0.25,-0.07212218481118134,-331.9263254751484,useful
drop_atr_expansion,17,0.17334649856917883,-444.8328181601679,-491.0284701758751,0.23529411764705882,-0.012685584295383634,-25.307348047793823,useful
drop_retest_speed,17,0.18845014345175495,-443.9008778120958,-495.3753799963058,0.23529411764705882,0.0024180605871924887,-29.654257868224533,neutral
drop_htf_score,14,0.2119480917324272,-306.53441486263506,-350.11401527434185,0.21428571428571427,0.025916008867864743,115.60710685373942,harmful
drop_ema_distance,25,0.17436515744131217,-731.0121250312399,-789.8499919791179,0.28,-0.01166692542325029,-324.12886985103665,useful
drop_candle_structure,18,0.1712329721017418,-451.3416968512875,-495.4904985417203,0.2222222222222222,-0.014799110762820672,-29.76937641363901,useful
