variant,n_trades,profit_factor,total_pnl_net_rub,pnl_without_top_1_trade,winrate,delta_pf_vs_baseline,delta_pnl_wo_top1_vs_baseline,classification
baseline_all_factors,9,0.6216254887669882,-117.97835044393834,-256.969322187354,0.5555555555555556,0.0,0.0,baseline
drop_impulse_strength,9,0.7761314982586192,-67.68302497332073,-221.79849063799946,0.6666666666666666,0.15450600949163096,35.170831549354546,harmful
drop_atr_expansion,9,0.1455652194451215,-321.7735754119631,-339.8055039762772,0.4444444444444444,-0.47606026932186674,-82.83618178892317,useful
drop_retest_speed,7,0.15134150590432435,-274.76138729117946,-291.98006129644034,0.42857142857142855,-0.4702839828626638,-35.01073910908633,useful
drop_htf_score,6,0.17257258575379855,-201.20021700575793,-215.942305019485,0.5,-0.4490529030131897,41.02701716786902,useful
drop_ema_distance,11,0.6994306749136697,-110.86451071749427,-280.3656957704402,0.5454545454545454,0.07780518614668153,-23.396373583086188,harmful
drop_candle_structure,9,0.7513818070770958,-71.66457717954995,-235.76632032965875,0.5555555555555556,0.1297563183101076,21.203001857695256,harmful
