instrument,timestamp,session,setup_type,side,pnl,return_risk_adj,win,risk_rub,entry_qty,signal_score,raw_impulse_strength,raw_atr_expansion,raw_retest_speed,raw_htf_score,raw_ema_distance,raw_candle_structure,entry_bar,alpha_liq_sweep_bear,alpha_liq_sweep_bull,alpha_atr_ratio_short_long,alpha_vol_roll_pctile,alpha_compression,alpha_expand_after_compress,alpha_hour_norm,alpha_session_bucket,alpha_wick_upper_ratio,alpha_wick_lower_ratio,alpha_body_ratio,alpha_range_position,alpha_htf_pv_quality,alpha_v2_false_breakout_up,alpha_v2_false_breakout_dn,alpha_v2_ret_3bar_atr,alpha_v2_vol_regime,alpha_v2_dist_to_don_hi_atr,alpha_v2_dist_to_don_lo_atr,alpha_v2_price_zscore,alpha_v2_hour_sin,alpha_v2_hour_cos,alpha_v2_session_fine,alpha_v3_fail_break_2bar_up,alpha_v3_fail_break_2bar_dn,alpha_v3_ret5_atr_norm,alpha_v3_tr_over_atr_pctile,alpha_v3_dist_don10_hi_atr,alpha_v3_dist_don10_lo_atr,alpha_v3_zscore_20,alpha_v3_minute_of_day_norm,alpha_v3_dist_local_high_atr,alpha_v3_dist_local_low_atr,alpha_v3_pos_in_range_30,alpha_v3_upper_shadow_frac,alpha_v3_lower_shadow_frac,alpha_v3_body_signed_ratio,alpha_v3_pin_bar_score
history_15m_6m,2026-03-09 07:00:00+00:00,morning,pullback,LONG,-43.346074912738075,-1.5891293480593125,0,27.276618461343922,0.5688540787738321,0.6020115225934374,0.695364238410596,1.6863435725068383,0.0,0.9374228609973794,4.57099162555806,0.9523809523809523,2975,0.0,0.0,0.29454633018289683,1.0,0.020000000000000018,0.0,0.2916666666666667,0.3333333333333333,0.047619047619047616,0.0,0.9523809523809523,0.9696969696969697,0.47852384164482764,0.0,0.0,0.8717405061962995,1.0,0.014989536540173366,0.4796651692855477,0.9926391405569716,0.9659258262890683,-0.25881904510252085,0.2,0.0,0.0,0.5329769803883814,0.9166666666666666,0.014989536540173366,0.4796651692855477,0.8583545461341198,0.2916666666666667,0.0,0.23983258464277388,0.9696969696969697,0.047619047619047616,0.0,0.9523809523809523,0.0
history_15m_6m,2026-03-09 15:30:00+00:00,day,pullback,LONG,-35.858281117100255,-1.661542586656999,0,21.58131931438882,0.5040646111061505,0.5333043287963665,2.2162162162162162,1.0371251776108539,0.0,0.937671178196146,5.258470383865171,0.012195121951219513,3009,1.0,1.0,0.23028636190738278,0.36,0.12,1.0,0.6458333333333334,0.6666666666666666,0.1951219512195122,0.7926829268292683,0.012195121951219513,0.8461538461538461,0.4805931516345502,0.5975609756097561,0.8963414634146342,0.7283100259897977,1.0,0.053720006115246514,0.2954600336338558,0.6596810407242,-0.7933533402912349,-0.6087614290087209,0.6,0.0,0.0,0.6107975126126959,0.8833333333333333,0.053720006115246514,0.26188502981182676,0.7356870923686876,0.6458333333333334,0.48348005503721864,0.8281834276100505,0.5753424657534246,0.1951219512195122,0.7926829268292683,0.012195121951219513,0.7804878048780488
history_15m_6m,2026-03-11 06:45:00+00:00,night,pullback,LONG,12.931881173105367,0.3667108522021808,1,35.26451724961649,0.636845631415391,0.671329073408657,2.1486486486486487,1.294189447976597,0.0,0.9411052284678023,4.0028588650098795,0.8050314465408805,3094,0.0,0.0,0.2224917731926969,0.48,0.0,0.0,0.28125,0.0,0.16981132075471697,0.025157232704402517,0.8050314465408805,0.8969465648854962,0.5092102372316862,0.0,0.0,0.8565168377191648,0.0,0.07009190256129212,0.6100591519223573,0.5428682342239591,0.9807852804032304,-0.1950903220161282,0.0,0.0,0.0,0.6856137419678662,1.0,0.07009190256129212,0.43353139732354756,0.9456664516946762,0.28125,0.8203348596062336,0.3876687944130725,0.9003690036900369,0.16981132075471697,0.025157232704402517,0.8050314465408805,0.0
history_15m_6m,2026-03-27 15:30:00+00:00,day,pullback,LONG,-13.906713254961216,-1.4259472205303403,0,9.752614300681488,0.15,0.52662411349124,0.6354166666666666,0.9357618763957697,0.0,0.25,-4.803405524237596,0.5409836065573771,3905,0.0,0.0,0.2736056430787476,0.44,0.31999999999999995,0.0,0.6458333333333334,0.6666666666666666,0.04918032786885246,0.4098360655737705,0.5409836065573771,0.7377049180327869,0.4980966295489225,0.0,0.0,0.7741572585120258,1.0,0.10612539039175192,0.2984776604768023,0.4104973168584601,-0.7933533402912349,-0.6087614290087209,0.6,0.0,0.0,0.5939651894093637,0.5833333333333334,0.006632836899484495,0.2984776604768023,0.631507093610719,0.6458333333333334,1.0,0.22699041833791386,0.2872340425531915,0.04918032786885246,0.4098360655737705,0.5409836065573771,0.0
