factor,n_trades,n_nonnull,unreliable_small_sample,pearson_pnl,spearman_pnl,monotonic_bins,monotonicity_rho,spearman_train,spearman_test,sign_consistent,stability_score,recommended_drop
alpha_v2_session_fine,15,15,True,-0.22446964204017383,-0.2642857142857143,False,0.5,-0.3939393939393939,-0.6,True,0.793939393939394,False
alpha_v2_vol_regime,15,15,True,0.18914312268228387,0.18214285714285713,False,0.0,0.15151515151515152,-0.5,False,0.3484848484848485,True
alpha_v3_body_signed_ratio,15,15,True,0.15406000751817747,-0.3392857142857143,False,0.0,-0.09090909090909091,-0.9,True,0.19090909090909092,False
alpha_v3_dist_don10_hi_atr,15,15,True,-0.04660255615552615,0.21428571428571427,False,0.0,0.030303030303030304,0.6,True,0.4303030303030303,False
alpha_v3_dist_don10_lo_atr,15,15,True,0.8479710458974081,0.5464285714285714,False,0.9,0.5757575757575758,0.5,True,0.9242424242424242,False
alpha_v3_dist_local_high_atr,15,15,True,-0.46550253404187,-0.5892857142857143,True,1.0,-0.793939393939394,-0.9,True,0.8939393939393939,False
alpha_v3_dist_local_low_atr,15,15,True,-0.27320774400183934,-0.05357142857142857,False,0.9,-0.01818181818181818,-0.5,True,0.5181818181818182,True
alpha_v3_fail_break_2bar_dn,15,15,True,-0.32944394567950996,-0.5928571428571429,False,0.0,-0.6606060606060606,-0.5,True,0.8393939393939394,False
alpha_v3_fail_break_2bar_up,15,15,True,,-0.025,False,0.0,-0.3212121212121212,-0.5,True,0.8212121212121213,True
alpha_v3_lower_shadow_frac,15,15,True,-0.17301070621806017,-0.09642857142857143,True,1.0,-0.07878787878787878,-0.2,True,0.8787878787878788,False
alpha_v3_minute_of_day_norm,15,15,True,-0.216065721713505,-0.26785714285714285,False,0.6,-0.24848484848484848,-0.4,True,0.8484848484848484,False
alpha_v3_pin_bar_score,15,15,True,-0.0514387457207341,0.075,False,0.0,-0.12727272727272726,-0.5,True,0.6272727272727272,True
alpha_v3_pos_in_range_30,15,15,True,0.5302182583030518,0.4714285714285714,False,0.7,0.7454545454545455,-0.3,False,0.0,True
alpha_v3_ret5_atr_norm,15,15,True,0.7447920516974861,0.5178571428571429,False,0.9,0.6121212121212121,0.3,True,0.687878787878788,False
alpha_v3_tr_over_atr_pctile,15,15,True,0.478925159944462,0.6857142857142857,False,0.9,0.6727272727272727,0.8,True,0.8727272727272727,False
alpha_v3_upper_shadow_frac,15,15,True,-0.01002748654501297,0.17857142857142858,False,0.4,-0.10303030303030303,0.9,False,0.0,True
alpha_v3_zscore_20,15,15,True,0.5633416203041306,0.4642857142857143,False,0.9,0.5515151515151515,0.6,True,0.9515151515151515,False
alpha_vol_roll_pctile,15,15,True,0.32144676804371547,0.4642857142857143,True,1.0,0.38181818181818183,0.6,True,0.7818181818181819,False
alpha_wick_lower_ratio,15,15,True,-0.17301070621806017,-0.09642857142857143,True,1.0,-0.07878787878787878,-0.2,True,0.8787878787878788,False
alpha_wick_upper_ratio,15,15,True,-0.01002748654501297,0.17857142857142858,False,0.4,-0.10303030303030303,0.9,False,0.0,True
raw_atr_expansion,15,15,True,0.550479653239472,0.5464285714285714,True,1.0,0.6121212121212121,0.6,True,0.9878787878787879,False
raw_candle_structure,15,15,True,0.15406000751817747,-0.3392857142857143,False,0.0,-0.09090909090909091,-0.9,True,0.19090909090909092,False
raw_ema_distance,15,15,True,0.2238364108802396,0.0035714285714285713,False,0.3,0.24848484848484848,-0.1,False,0.6515151515151515,True
raw_htf_score,15,15,True,0.6505938746302334,0.5142857142857142,False,0.0,0.47878787878787876,-0.5,False,0.021212121212121238,True
raw_impulse_strength,15,15,True,0.9214088157166344,0.8607142857142858,False,0.9,0.8303030303030303,1.0,True,0.8303030303030303,False
raw_retest_speed,15,15,True,,-0.025,False,0.0,-0.3212121212121212,-0.5,True,0.8212121212121213,True
