factor,n_trades,n_nonnull,unreliable_small_sample,pearson_pnl,spearman_pnl,monotonic_bins,monotonicity_rho,spearman_train,spearman_test,sign_consistent,stability_score,recommended_drop
alpha_atr_ratio_short_long,15,15,True,-0.034965604408358525,-0.2785714285714286,False,0.3,-0.6,0.3,False,0.10000000000000009,True
alpha_body_ratio,15,15,True,0.15406000751817747,-0.3392857142857143,False,0.0,-0.09090909090909091,-0.9,True,0.19090909090909092,False
alpha_compression,15,15,True,-0.4097586569870706,-0.6214285714285714,True,1.0,-0.6242424242424243,-0.9,True,0.7242424242424242,False
alpha_expand_after_compress,15,15,True,-0.10756401244495184,0.05714285714285714,False,0.0,-0.23636363636363636,-0.7,True,0.5363636363636364,True
alpha_hour_norm,15,15,True,-0.21606572171350513,-0.26785714285714285,False,0.6,-0.24848484848484848,-0.4,True,0.8484848484848484,False
alpha_htf_pv_quality,15,15,True,0.3735157802139975,0.2571428571428571,False,0.5,0.3090909090909091,0.2,True,0.8909090909090909,False
alpha_liq_sweep_bear,15,15,True,-0.16073935212713586,-0.19642857142857142,False,0.0,-0.3939393939393939,-0.5,True,0.8939393939393939,False
alpha_liq_sweep_bull,15,15,True,-0.08663153220059142,0.05714285714285714,False,0.0,-0.07878787878787878,-0.5,True,0.5787878787878789,True
alpha_range_position,15,15,True,0.33158844900622075,-0.11785714285714285,False,0.4,-0.09090909090909091,-0.1,True,0.990909090909091,False
alpha_session_bucket,15,15,True,-0.2518471219060114,-0.2642857142857143,False,0.0,-0.3939393939393939,-0.6,True,0.793939393939394,False
alpha_v2_dist_to_don_hi_atr,15,15,True,-0.18165203764294657,0.1392857142857143,False,0.4,0.01818181818181818,0.2,True,0.8181818181818181,False
alpha_v2_dist_to_don_lo_atr,15,15,True,0.7391754169332334,0.3107142857142857,False,0.9,0.2,0.7,True,0.5,False
alpha_v2_false_breakout_dn,15,15,True,-0.09165688062897553,0.02142857142857143,False,0.0,-0.10303030303030303,-0.5,True,0.603030303030303,True
alpha_v2_false_breakout_up,15,15,True,-0.1607393521271359,-0.19642857142857142,False,0.0,-0.3939393939393939,-0.5,True,0.8939393939393939,False
alpha_v2_hour_cos,15,15,True,0.18134451354210934,0.42142857142857143,False,0.3,0.5636363636363636,0.4,True,0.8363636363636364,False
alpha_v2_hour_sin,15,15,True,0.22399637173572423,0.25,False,0.6,0.21212121212121213,0.4,True,0.8121212121212121,False
alpha_v2_price_zscore,15,15,True,0.5551055908874681,0.5821428571428572,False,0.6,0.7696969696969697,0.2,True,0.4303030303030304,False
alpha_v2_ret_3bar_atr,15,15,True,0.4797519937628655,0.6892857142857143,False,0.9,0.7454545454545455,0.5,True,0.7545454545454545,False
