variant,n_trades,profit_factor,total_pnl_net_rub,pnl_without_top_1_trade,winrate,delta_pf_vs_baseline,delta_pnl_wo_top1_vs_baseline,classification
baseline_all_factors,1,0.0,-64.31879995609249,0.0,0.0,0.0,0.0,baseline
drop_impulse_strength,3,2.529189616809112,105.64492441150543,-51.811340085447,0.6666666666666666,2.529189616809112,-51.811340085447,unreliable
drop_atr_expansion,2,0.24634669392548353,-53.00957690382088,-70.33681996291757,0.5,0.24634669392548353,-70.33681996291757,unreliable
drop_retest_speed,2,0.23734942529818853,-51.83185799154882,-67.96278624954101,0.5,0.23734942529818853,-67.96278624954101,unreliable
drop_htf_score,1,0.0,-57.035221677655926,0.0,0.0,0.0,0.0,unreliable
drop_ema_distance,3,3.310575464561354,133.83653227108368,-41.79832479712769,0.6666666666666666,3.310575464561354,-41.79832479712769,unreliable
drop_candle_structure,2,2.7174176010700934,107.56464067802416,-62.631616568388765,0.5,2.7174176010700934,-62.631616568388765,unreliable
