factor,raw_column,n_trades,n_nonnull,unreliable_small_sample,pearson_pnl,spearman_pnl,monotonic_bins,monotonicity_rho,spearman_train,spearman_test,sign_consistent,stability_score
impulse_strength,raw_impulse_strength,3,3,True,-0.7988816314058,-1.0,False,0.0,,,,0.0
atr_expansion,raw_atr_expansion,3,3,True,0.931859622934013,0.5,False,0.0,,,,0.0
retest_speed,raw_retest_speed,3,3,True,0.9419763251274723,1.0,False,0.0,,,,0.0
htf_score,raw_htf_score,3,3,True,,-0.5,False,0.0,,,,0.0
ema_distance,raw_ema_distance,3,3,True,0.9411785972328627,1.0,False,0.0,,,,0.0
candle_structure,raw_candle_structure,3,3,True,-0.7891171886606372,-0.5,False,0.0,,,,0.0
