instrument,timestamp,session,setup_type,side,pnl,return_risk_adj,win,risk_rub,entry_qty,signal_score,raw_impulse_strength,raw_atr_expansion,raw_retest_speed,raw_htf_score,raw_ema_distance,raw_candle_structure
_hist_candles,2026-03-27 08:15:00+00:00,morning,retest_fast,SHORT,258.08170450664056,4.310183931604714,1,59.87719053338748,1.12,0.5580425899280574,0.3597122302158273,1.2867237823061999,1.0,1.0,3.44670736246078,0.32
_hist_candles,2026-03-27 15:30:00+00:00,day,pullback,LONG,-93.45311306983874,-1.4259472205531225,0,65.53756809707755,1.0080000000000002,0.6882467351090402,0.6354166666666666,0.9357618764135358,0.0,1.0,-2.9692581721355844,0.5409836065573771
_hist_candles,2026-04-01 13:45:00+00:00,day,pullback,LONG,26.515529896913744,0.47072479579459975,1,56.32915481359891,1.0080000000000002,0.5955190494080376,0.3780487804878049,0.923820615072259,0.0,1.0,1.1549340147353593,0.6451612903225806
