variant,n_trades,total_pnl_net_rub,profit_factor,pnl_without_top_1_trade,winrate
score_filter_off,8,-274.9277200007726,0.5630086552418937,-461.17997348269387,0.5
legacy_impulse_combo_thr,5,-144.26979552799727,0.5815799492252993,-292.5407812615488,0.4
split_factors_default_thr,5,-144.26979552799727,0.5815799492252993,-292.5407812615488,0.4
ablation_drop_impulse_strength,6,81.68010660252516,1.395649899717655,-84.86476504435625,0.6666666666666666
ablation_drop_atr_expansion,5,-155.37275679127274,0.5675953120215661,-308.18849306930855,0.4
ablation_drop_retest_speed,5,-170.11390635958736,0.5321595171401442,-314.2388126907176,0.4
ablation_drop_htf_score,4,18.403519786528726,1.1082077941057553,-120.37214900993033,0.5
ablation_drop_ema_distance,8,-189.70470962190092,0.5796232971193667,-329.6383438984932,0.5
ablation_drop_candle_structure,6,97.71341197345174,1.5684065664760898,-47.52008317457734,0.6666666666666666
