frame,variant,avg_atr_slope,avg_impulse_strength_ratio,avg_loss_rub,avg_range_atr_ratio,avg_retest_bars,avg_signal_score,avg_win_rub,expectancy_rub,interesting_candidate,max_drawdown_rub,n_limit_entries,n_market_entries,n_trades,pct_fast_retest_le2_bars,pct_market_entries,pct_trades_atr_slope_ge_min_expansion,pct_trades_range_atr_ge_min,pnl_without_top_1_trade,pnl_without_top_2_trades,profit_factor,sharpe_like_pnl,total_pnl_net_rub,trades_by_setup_tag_json,winrate
_hist_candles.csv,baseline_no_score_filter,1.0487687579306648,0.45772589245676626,-93.45311306983874,4.0589003251596445,0.3333333333333333,0.6139361248150451,142.29861720177715,63.71470711123852,False,93.45311306983874,0,3,3,100.0,100.0,33.333333333333336,100.0,-66.937583172925,-93.45311306983875,3.0453478226120843,0.3565549921334355,191.14412133371556,"{""pullback"": 2, ""retest_fast"": 1}",0.6666666666666666
_hist_candles.csv,old_score_legacy_combo_min_0.6,0.9357618764135358,0.6354166666666666,-64.31879995609249,3.2368244071213157,0.0,0.6882467351090402,,-64.31879995609249,False,64.31879995609249,0,1,1,100.0,100.0,0.0,100.0,0.0,0.0,0.0,,-64.31879995609249,"{""pullback"": 1}",0.0
_hist_candles.csv,split_factors_default_min_0.6,0.9357618764135358,0.6354166666666666,-64.31879995609249,3.2368244071213157,0.0,0.6882467351090402,,-64.31879995609249,False,64.31879995609249,0,1,1,100.0,100.0,0.0,100.0,0.0,0.0,0.0,,-64.31879995609249,"{""pullback"": 1}",0.0
_hist_candles.csv,factor_weights_from_factor_edge_summary.json_min_0.6,1.2867237823061999,0.3597122302158273,,4.474224618982646,1.0,0.5580425899280574,219.37026487223883,219.37026487223883,False,0.0,0,1,1,100.0,100.0,100.0,100.0,0.0,0.0,,,219.37026487223883,"{""retest_fast"": 1}",1.0
_hist_candles.csv,split_top3_per_day_min0.5,1.0487687579306648,0.45772589245676626,-64.31879995609249,4.0589003251596445,0.3333333333333333,0.6139361248150451,79.90554297734687,31.830761999533753,False,64.31879995609249,0,3,3,100.0,100.0,33.333333333333336,100.0,-48.52829679733202,-64.31879995609249,2.48467145008597,0.30288522917033267,95.49228599860126,"{""pullback"": 2, ""retest_fast"": 1}",0.6666666666666666
_hist_candles_1h.csv,baseline_no_score_filter,1.2678501603138659,0.5113962926224958,-123.54499530770201,5.381117785381468,1.25,0.6189370081045992,97.24848142962362,42.050112245292226,False,123.54499530770201,0,4,4,100.0,100.0,75.0,100.0,-18.051804519302976,-104.24817628555067,2.3614509318021963,0.32351791591044826,168.2004489811689,"{""pullback"": 1, ""retest_fast"": 3}",0.75
_hist_candles_1h.csv,old_score_legacy_combo_min_0.6,1.1009006987696963,0.16666666666666666,,6.108562321790518,2.0,0.7960761976519998,148.27098577077203,148.27098577077203,False,0.0,0,1,1,100.0,100.0,100.0,100.0,0.0,0.0,,,148.27098577077203,"{""retest_fast"": 1}",1.0
_hist_candles_1h.csv,split_factors_default_min_0.6,1.1009006987696963,0.16666666666666666,,6.108562321790518,2.0,0.7960761976519998,148.27098577077203,148.27098577077203,False,0.0,0,1,1,100.0,100.0,100.0,100.0,0.0,0.0,,,148.27098577077203,"{""retest_fast"": 1}",1.0
_hist_candles_1h.csv,factor_weights_from_factor_edge_summary.json_min_0.6,1.3694247261750914,0.33111545483994465,,5.753661356521529,1.6666666666666667,0.6387636212789087,78.84714659217799,78.84714659217799,False,0.0,0,3,3,100.0,100.0,100.0,100.0,88.40788797002256,15.140699420044598,,1.182616439398086,236.541439776534,"{""retest_fast"": 3}",1.0
_hist_candles_1h.csv,split_top3_per_day_min0.5,1.2678501603138659,0.5113962926224958,-69.11813326728273,5.381117785381468,1.25,0.6189370081045992,68.99979552975294,34.47031333049402,False,69.11813326728273,0,4,4,100.0,100.0,75.0,100.0,-10.38973244879594,-58.2062603719345,2.994863674757874,0.3821060289587632,137.8812533219761,"{""pullback"": 1, ""retest_fast"": 3}",0.75
