time_utc,open,high,low,close,volume,is_complete
2026-03-20T15:00:00+00:00,33285.0,33299.0,33268.0,33268.0,411,True
2026-03-20T15:15:00+00:00,33277.0,33279.0,33222.0,33249.0,1599,True
2026-03-20T15:30:00+00:00,33250.0,33250.0,33190.0,33225.0,1660,True
2026-03-20T15:45:00+00:00,33225.0,33226.0,33208.0,33219.0,200,True
2026-03-23T05:45:00+00:00,33219.0,33240.0,33219.0,33240.0,46,True
2026-03-23T06:00:00+00:00,33240.0,33244.0,33127.0,33159.0,3277,True
2026-03-23T06:15:00+00:00,33159.0,33200.0,33151.0,33172.0,1463,True
2026-03-23T06:30:00+00:00,33172.0,33217.0,33161.0,33217.0,1081,True
2026-03-23T06:45:00+00:00,33217.0,33231.0,33200.0,33220.0,709,True
2026-03-23T07:00:00+00:00,33217.0,33219.0,33133.0,33150.0,2562,True
2026-03-23T07:15:00+00:00,33154.0,33181.0,33077.0,33092.0,3379,True
2026-03-23T07:30:00+00:00,33091.0,33143.0,33001.0,33117.0,5475,True
2026-03-23T07:45:00+00:00,33116.0,33143.0,33093.0,33126.0,2424,True
2026-03-23T08:00:00+00:00,33126.0,33126.0,33056.0,33082.0,2369,True
2026-03-23T08:15:00+00:00,33080.0,33098.0,33052.0,33062.0,1304,True
2026-03-23T08:30:00+00:00,33061.0,33065.0,33003.0,33028.0,1611,True
2026-03-23T08:45:00+00:00,33028.0,33060.0,33017.0,33022.0,1546,True
2026-03-23T09:00:00+00:00,33021.0,33022.0,33000.0,33017.0,2665,True
2026-03-23T09:15:00+00:00,33021.0,33058.0,33013.0,33057.0,698,True
2026-03-23T09:30:00+00:00,33056.0,33057.0,33015.0,33021.0,505,True
2026-03-23T09:45:00+00:00,33026.0,33035.0,32950.0,32957.0,2583,True
2026-03-23T10:00:00+00:00,32955.0,32956.0,32913.0,32935.0,3133,True
2026-03-23T10:15:00+00:00,32935.0,32938.0,32642.0,32718.0,24429,True
2026-03-23T10:30:00+00:00,32718.0,32718.0,32559.0,32678.0,9616,True
2026-03-23T10:45:00+00:00,32677.0,32677.0,32560.0,32600.0,6445,True
2026-03-23T11:00:00+00:00,32601.0,32695.0,32456.0,32616.0,20855,True
2026-03-23T11:15:00+00:00,32614.0,32730.0,32600.0,32707.0,7258,True
2026-03-23T11:30:00+00:00,32709.0,32746.0,32684.0,32725.0,3429,True
2026-03-23T11:45:00+00:00,32722.0,32738.0,32706.0,32729.0,2305,True
2026-03-23T12:00:00+00:00,32729.0,32729.0,32622.0,32698.0,3238,True
