time_utc,open,high,low,close,volume,is_complete
2026-02-02T15:00:00+00:00,31805.0,31816.0,31805.0,31816.0,3,True
2026-02-02T16:00:00+00:00,31772.0,31870.0,31772.0,31864.0,16,True
2026-02-02T17:00:00+00:00,31900.0,31925.0,31870.0,31906.0,22,True
2026-02-02T18:00:00+00:00,31900.0,31900.0,31900.0,31900.0,2,True
2026-02-02T19:00:00+00:00,31938.0,31959.0,31938.0,31959.0,3,True
2026-02-02T20:00:00+00:00,31959.0,31959.0,31952.0,31952.0,2,True
2026-02-03T06:00:00+00:00,31940.0,31985.0,31857.0,31985.0,32,True
2026-02-03T07:00:00+00:00,31901.0,31925.0,31849.0,31850.0,55,True
2026-02-03T08:00:00+00:00,31856.0,31875.0,31832.0,31875.0,45,True
2026-02-03T09:00:00+00:00,31864.0,31869.0,31802.0,31869.0,13,True
2026-02-03T11:00:00+00:00,31871.0,31918.0,31855.0,31918.0,20,True
2026-02-03T12:00:00+00:00,31968.0,31968.0,31952.0,31952.0,2,True
2026-02-03T13:00:00+00:00,31950.0,31975.0,31950.0,31970.0,7,True
2026-02-03T14:00:00+00:00,31970.0,31991.0,31966.0,31966.0,18,True
2026-02-03T15:00:00+00:00,31960.0,31960.0,31941.0,31941.0,60,True
2026-02-03T17:00:00+00:00,31872.0,31872.0,31872.0,31872.0,5,True
2026-02-03T18:00:00+00:00,31903.0,31903.0,31903.0,31903.0,1,True
2026-02-03T19:00:00+00:00,31927.0,31927.0,31915.0,31915.0,2,True
2026-02-03T20:00:00+00:00,31901.0,31901.0,31900.0,31900.0,2,True
2026-02-04T06:00:00+00:00,31965.0,32021.0,31923.0,32021.0,24,True
2026-02-04T07:00:00+00:00,32090.0,32092.0,31965.0,32065.0,734,True
2026-02-04T08:00:00+00:00,32069.0,32089.0,32045.0,32045.0,173,True
2026-02-04T09:00:00+00:00,32060.0,32076.0,32050.0,32076.0,168,True
2026-02-04T10:00:00+00:00,32088.0,32113.0,32079.0,32113.0,42,True
2026-02-04T11:00:00+00:00,32092.0,32092.0,31950.0,32000.0,209,True
2026-02-04T12:00:00+00:00,32002.0,32045.0,32002.0,32035.0,139,True
2026-02-04T13:00:00+00:00,32012.0,32012.0,31937.0,31971.0,10,True
2026-02-04T15:00:00+00:00,31961.0,31961.0,31936.0,31936.0,22,True
2026-02-04T16:00:00+00:00,31934.0,31934.0,31900.0,31929.0,8,True
2026-02-04T17:00:00+00:00,31925.0,31925.0,31838.0,31852.0,24,True
2026-02-04T18:00:00+00:00,31910.0,31910.0,31910.0,31910.0,2,True
2026-02-04T20:00:00+00:00,31916.0,31923.0,31906.0,31923.0,3,True
2026-02-05T06:00:00+00:00,31856.0,31856.0,31740.0,31750.0,354,True
2026-02-05T07:00:00+00:00,31750.0,31750.0,31689.0,31720.0,277,True
2026-02-05T08:00:00+00:00,31702.0,31807.0,31702.0,31742.0,137,True
2026-02-05T09:00:00+00:00,31728.0,31771.0,31550.0,31600.0,264,True
2026-02-05T10:00:00+00:00,31643.0,31643.0,31576.0,31630.0,65,True
2026-02-05T11:00:00+00:00,31611.0,31626.0,31557.0,31575.0,40,True
2026-02-05T12:00:00+00:00,31555.0,31643.0,31511.0,31564.0,219,True
2026-02-05T13:00:00+00:00,31522.0,31613.0,31517.0,31587.0,52,True
2026-02-05T14:00:00+00:00,31571.0,31634.0,31571.0,31634.0,4,True
2026-02-05T15:00:00+00:00,31612.0,31612.0,31580.0,31580.0,4,True
2026-02-05T16:00:00+00:00,31580.0,31656.0,31580.0,31650.0,178,True
2026-02-05T18:00:00+00:00,31650.0,31650.0,31622.0,31630.0,5,True
2026-02-05T20:00:00+00:00,31619.0,31675.0,31619.0,31675.0,5,True
2026-02-06T06:00:00+00:00,31649.0,31713.0,31649.0,31688.0,20,True
2026-02-06T07:00:00+00:00,31712.0,31713.0,31555.0,31587.0,66,True
2026-02-06T08:00:00+00:00,31585.0,31681.0,31585.0,31681.0,18,True
2026-02-06T09:00:00+00:00,31610.0,31615.0,31610.0,31615.0,2,True
2026-02-06T10:00:00+00:00,31650.0,31667.0,31610.0,31610.0,18,True
2026-02-06T11:00:00+00:00,31649.0,31651.0,31554.0,31554.0,37,True
2026-02-06T12:00:00+00:00,31608.0,31608.0,31580.0,31580.0,6,True
2026-02-06T13:00:00+00:00,31631.0,31671.0,31600.0,31600.0,32,True
2026-02-06T14:00:00+00:00,31577.0,31577.0,31540.0,31551.0,34,True
2026-02-06T15:00:00+00:00,31535.0,31544.0,31524.0,31525.0,22,True
2026-02-06T16:00:00+00:00,31560.0,31560.0,31560.0,31560.0,3,True
2026-02-06T17:00:00+00:00,31572.0,31577.0,31530.0,31530.0,6,True
2026-02-06T18:00:00+00:00,31530.0,31545.0,31517.0,31517.0,15,True
