factor,n_trades,n_nonnull,unreliable_small_sample,pearson_pnl,spearman_pnl,monotonic_bins,monotonicity_rho,spearman_train,spearman_test,sign_consistent,stability_score,recommended_drop
alpha_atr_ratio_short_long,30,30,False,-0.042255749998310596,-0.3526140155728587,False,0.7,-0.42727272727272725,-0.11666666666666667,True,0.6893939393939394,False
alpha_body_ratio,30,30,False,-0.21189106257955442,0.033592880978865404,False,0.9,-0.05584415584415584,0.08333333333333333,False,0.8608225108225108,True
alpha_compression,30,30,False,-0.46210784171595426,-0.49410456062291436,False,0.7,-0.5935064935064935,-0.6333333333333333,True,0.9601731601731602,False
alpha_expand_after_compress,30,30,False,0.035047493295907124,-0.22625139043381534,False,0.0,-0.32987012987012987,0.4166666666666667,False,0.2534632034632034,True
alpha_hour_norm,30,30,False,-0.4828576020418486,-0.28631813125695216,False,0.9,-0.38701298701298703,0.0,False,0.612987012987013,True
alpha_liq_sweep_bear,30,30,False,0.11435636261623092,-0.001557285873192436,False,0.0,-0.02207792207792208,-0.2833333333333333,True,0.7387445887445887,True
alpha_liq_sweep_bull,30,30,False,0.054467103484070724,-0.22091212458286985,False,0.0,-0.3233766233766234,0.5166666666666667,False,0.15995670995670985,True
alpha_range_position,30,30,False,-0.18849566904314335,0.03181312569521691,False,0.0,-0.06363636363636363,0.18333333333333332,False,0.753030303030303,True
alpha_session_bucket,30,30,False,-0.5297412173245951,-0.3699666295884316,True,1.0,-0.44545454545454544,-0.3333333333333333,True,0.8878787878787879,False
alpha_vol_roll_pctile,30,30,False,0.04931254370148736,0.23648498331479423,False,0.4,0.1961038961038961,0.48333333333333334,True,0.7127705627705627,False
alpha_wick_lower_ratio,30,30,False,0.18217610113188493,-0.009121245828698554,False,0.5,0.014285714285714285,0.08333333333333333,True,0.930952380952381,True
alpha_wick_upper_ratio,30,30,False,0.09309552193151661,-0.09499443826473859,False,0.4,-0.0987012987012987,0.06666666666666667,False,0.8346320346320346,True
raw_atr_expansion,30,30,False,0.14361910134606906,0.14660734149054505,False,0.3,0.18831168831168832,0.35,True,0.8383116883116883,False
raw_candle_structure,30,30,False,-0.21189106257955442,0.033592880978865404,False,0.9,-0.05584415584415584,0.08333333333333333,False,0.8608225108225108,True
raw_ema_distance,30,30,False,-0.030261649494439016,0.1021134593993326,False,0.6,0.32727272727272727,-0.4166666666666667,False,0.2560606060606061,True
raw_htf_score,30,30,False,,-0.2471635150166852,False,0.0,-0.37402597402597404,0.2,False,0.4259740259740259,True
raw_impulse_strength,30,30,False,0.2941735793313603,0.4473859844271413,False,0.9,0.34675324675324676,0.9166666666666666,True,0.4300865800865801,False
raw_retest_speed,30,30,False,0.10318671109019684,-0.17597330367074526,False,0.0,-0.22727272727272727,-0.3,True,0.9272727272727272,False
