instrument,timestamp,session,setup_type,side,pnl,return_risk_adj,win,risk_rub,entry_qty,signal_score,raw_impulse_strength,raw_atr_expansion,raw_retest_speed,raw_htf_score,raw_ema_distance,raw_candle_structure,entry_bar,alpha_liq_sweep_bear,alpha_liq_sweep_bull,alpha_atr_ratio_short_long,alpha_vol_roll_pctile,alpha_compression,alpha_expand_after_compress,alpha_hour_norm,alpha_session_bucket,alpha_wick_upper_ratio,alpha_wick_lower_ratio,alpha_body_ratio,alpha_range_position
_hist_candles,2026-03-27 08:15:00+00:00,morning,retest_fast,SHORT,258.08170450664056,4.310183931604714,1,59.87719053338748,1.12,0.5580425899280574,0.3597122302158273,1.2867237823061999,1.0,1.0,3.44670736246078,0.32,258,0.0,0.0,0.2881970697178899,1.0,0.18000000000000005,0.0,0.34375,0.3333333333333333,0.66,0.02,0.32,0.08653846153846154
_hist_candles,2026-03-27 15:30:00+00:00,day,pullback,LONG,-93.45311306983874,-1.4259472205531225,0,65.53756809707755,1.0080000000000002,0.6882467351090402,0.6354166666666666,0.9357618764135358,0.0,1.0,-2.9692581721355844,0.5409836065573771,287,0.0,0.0,0.2736056473594945,0.44,0.31999999999999995,0.0,0.6458333333333334,0.6666666666666666,0.04918032786885246,0.4098360655737705,0.5409836065573771,0.7377049180327869
_hist_candles,2026-04-01 13:45:00+00:00,day,pullback,LONG,26.515529896913744,0.47072479579459975,1,56.32915481359891,1.0080000000000002,0.5955190494080376,0.3780487804878049,0.923820615072259,0.0,1.0,1.1549340147353593,0.6451612903225806,534,0.0,0.0,0.24102002022909969,0.52,0.62,0.0,0.5729166666666666,0.6666666666666666,0.06451612903225806,0.2903225806451613,0.6451612903225806,0.4009216589861751
