variant,n_trades,profit_factor,total_pnl_net_rub,pnl_without_top_1_trade,winrate,delta_pf_vs_baseline,delta_pnl_wo_top1_vs_baseline,classification
baseline_all_factors,5,0.5815799492252993,-144.26979552799727,-292.5407812615488,0.4,0.0,0.0,baseline
drop_impulse_strength,6,1.395649899717655,81.68010660252516,-84.86476504435625,0.6666666666666666,0.8140699504923556,207.6760162171925,harmful
drop_atr_expansion,5,0.5675953120215661,-155.37275679127274,-308.18849306930855,0.4,-0.013984637203733219,-15.647711807759777,useful
drop_retest_speed,5,0.5321595171401442,-170.11390635958736,-314.2388126907176,0.4,-0.04942043208515512,-21.69803142916885,useful
drop_htf_score,4,1.1082077941057553,18.403519786528726,-120.37214900993033,0.5,0.526627844880456,172.16863225161845,harmful
drop_ema_distance,8,0.5796232971193667,-189.70470962190092,-329.6383438984932,0.5,-0.0019566521059326547,-37.09756263694442,neutral
drop_candle_structure,6,1.5684065664760898,97.71341197345174,-47.52008317457734,0.6666666666666666,0.9868266172507905,245.02069808697144,harmful
