variant,n_trades,profit_factor,total_pnl_net_rub,pnl_without_top_1_trade,winrate,delta_pf_vs_baseline,delta_pnl_wo_top1_vs_baseline,classification
baseline_all_factors,5,0.5822909385617918,-143.8487917590228,-292.11977749257426,0.4,0.0,0.0,baseline
drop_impulse_strength,6,1.398895360105088,82.15906337535559,-84.38580827152582,0.6666666666666666,0.8166044215432962,207.73396922104843,harmful
drop_atr_expansion,5,0.5683343739270831,-154.9054938145044,-307.7212300925402,0.4,-0.013956564634708735,-15.601452599965967,useful
drop_retest_speed,5,0.5329506258039683,-169.5741581846571,-313.6990645157874,0.4,-0.04934031275782347,-21.57928702321317,useful
drop_htf_score,4,1.111647489221235,18.929773540676173,-119.84589525578289,0.5,0.5293565506594431,172.27388223679137,harmful
drop_ema_distance,8,0.579623298318663,-189.7047086881734,-329.6383429647657,0.5,-0.0026676402431288215,-37.518565472191426,neutral
drop_candle_structure,6,1.5731047924754096,98.22683027018097,-47.00666487784811,0.6666666666666666,0.9908138539136178,245.11311261472616,harmful
