factor,bin,n,avg_pnl,median_pnl,winrate,profit_factor,pnl_wo_top1
impulse_strength,0,4,6.816500229643957,-17.838760553950863,0.5,1.1112069346105184,-158.98625256334546
impulse_strength,1,4,-75.54842983204998,-52.124088279105884,0.5,0.21294519509114163,-364.6582977727883
atr_expansion,0,4,-80.25289862395023,-123.42686338157286,0.25,0.36717036750094006,-507.2638479777222
atr_expansion,1,4,11.52096902154422,40.8806985970393,0.75,1.3781277459899717,-40.11243135961621
retest_speed,0,4,-157.28441913285425,-123.42686338157286,0.0,0.0,-507.2638479777221
retest_speed,1,4,88.55248953044824,74.33044294519073,1.0,,167.95770463987165
ema_distance,0,4,0.8835679793427786,-29.704625054553222,0.5,1.0144148585333288,-182.71798156455014
ema_distance,1,4,-69.6154975817488,-52.124088279105884,0.5,0.2747537971385836,-364.6582977727882
candle_structure,0,4,52.84203601615017,74.33044294519073,0.75,2.710859622748503,25.115890582679413
candle_structure,1,4,-121.57396561855619,-122.59128000456926,0.25,0.038166728803876365,-505.592681223715
