instrument,timestamp,session,setup_type,side,pnl,return_risk_adj,win,risk_rub,entry_qty,signal_score,raw_impulse_strength,raw_atr_expansion,raw_retest_speed,raw_htf_score,raw_ema_distance,raw_candle_structure,entry_bar,alpha_liq_sweep_bear,alpha_liq_sweep_bull,alpha_atr_ratio_short_long,alpha_vol_roll_pctile,alpha_compression,alpha_expand_after_compress,alpha_hour_norm,alpha_session_bucket,alpha_wick_upper_ratio,alpha_wick_lower_ratio,alpha_body_ratio,alpha_range_position,alpha_htf_pv_quality,alpha_v2_false_breakout_up,alpha_v2_false_breakout_dn,alpha_v2_ret_3bar_atr,alpha_v2_vol_regime,alpha_v2_dist_to_don_hi_atr,alpha_v2_dist_to_don_lo_atr,alpha_v2_price_zscore,alpha_v2_hour_sin,alpha_v2_hour_cos,alpha_v2_session_fine,alpha_v3_fail_break_2bar_up,alpha_v3_fail_break_2bar_dn,alpha_v3_ret5_atr_norm,alpha_v3_tr_over_atr_pctile,alpha_v3_dist_don10_hi_atr,alpha_v3_dist_don10_lo_atr,alpha_v3_zscore_20,alpha_v3_minute_of_day_norm,alpha_v3_dist_local_high_atr,alpha_v3_dist_local_low_atr,alpha_v3_pos_in_range_30,alpha_v3_upper_shadow_frac,alpha_v3_lower_shadow_frac,alpha_v3_body_signed_ratio,alpha_v3_pin_bar_score
history_5m_6m,2025-12-17 08:10:00+00:00,morning,pullback,LONG,45.50961968625303,1.1591861603277718,1,39.25997500986789,0.6855327872903647,0.7019313397509089,87.75,1.8642278072483431,0.0,0.9688868588267325,9.68459220935318,1.0,856,0.0,0.0,0.22429854366392754,1.0,0.0,0.0,0.34027777777777773,0.3333333333333333,0.0,0.0,1.0,1.0,0.7407238235561046,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.8433914458128858,-0.5372996083468236,0.2,0.0,0.0,0.9455376632641745,1.0,0.0,1.0,0.9794240123804034,0.3402777777777778,0.0,0.21419275454578157,1.0,0.0,0.0,1.0,0.0
history_5m_6m,2026-03-12 08:10:00+00:00,morning,pullback,LONG,-5.258411580872789,-0.4535726092213618,0,11.593318189781762,0.5346732830819857,0.5576800063586711,1.173913043478261,1.1287903069377403,0.0,0.9511365626872079,5.5336378701524795,0.4444444444444444,5326,0.0,1.0,0.3058711704943039,1.0,0.020000000000000018,0.0,0.34027777777777773,0.3333333333333333,0.0,0.5555555555555556,0.4444444444444444,0.8484848484848485,0.5928046890600656,0.0,0.7777777777777778,0.8535796887361393,1.0,0.06629619163802612,0.37125867317294625,0.6899110392544934,0.8433914458128858,-0.5372996083468236,0.2,0.0,0.0,0.533148095819013,0.7333333333333333,0.0,0.37125867317294625,0.6627501005921743,0.3402777777777778,0.22098730546008707,0.27402425877050796,0.691358024691358,0.0,0.5555555555555556,0.4444444444444444,0.1111111111111111
history_5m_6m,2026-03-19 07:50:00+00:00,morning,pullback,LONG,-9.195085257999963,-1.8809391670934168,0,4.888560682272873,0.15,0.5445429536469244,1.5084745762711864,1.3382292623835352,0.0,0.25,7.258381709102653,0.898876404494382,6300,0.0,0.0,0.25476708600931697,1.0,0.0,0.0,0.3263888888888889,0.3333333333333333,0.056179775280898875,0.0449438202247191,0.898876404494382,0.96,0.5355552041531623,0.0,0.0,0.9469618241466415,1.0,0.022054037375656654,0.5292968970157597,0.7672997524455902,0.8870108331782218,-0.4617486132350338,0.2,0.0,0.0,0.7293619887068292,0.9833333333333333,0.022054037375656654,0.5292968970157597,0.9208200212179729,0.3263888888888889,0.0,0.21171875880630386,0.96,0.056179775280898875,0.0449438202247191,0.898876404494382,0.0
history_5m_6m,2026-03-23 12:15:00+00:00,day,pullback,LONG,-13.726715025342362,-1.4446747168917373,0,9.501595663607803,0.15,0.5627365832356279,0.675,0.9648702789195289,0.0,0.25,-1.8043291288961552,0.8333333333333334,6645,0.0,0.0,0.3237188336074558,0.62,0.30000000000000004,0.0,0.5104166666666666,0.6666666666666666,0.16666666666666666,0.0,0.8333333333333334,0.9693877551020408,0.5345478422929005,0.0,0.0,0.67852264609584,1.0,0.020424201036388475,0.6467663661523018,0.42561463807879063,-0.06540312923014287,-0.9978589232386035,0.4,0.0,1.0,0.5181548453656787,0.55,0.020424201036388475,0.27005332481446986,0.6762471173485437,0.5104166666666666,1.0,0.7261938146271457,0.521978021978022,0.16666666666666666,0.0,0.8333333333333334,0.0
history_5m_6m,2026-03-24 09:20:00+00:00,morning,pullback,LONG,1.9173242999163325,0.32756716163047306,1,5.853225000860302,0.18177346236831687,0.7213232633663367,2.72972972972973,1.2502431501602407,0.0,0.25,-3.2503061528173283,0.49504950495049505,6789,0.0,0.0,0.26077799500937193,0.64,0.06000000000000005,0.0,0.3888888888888889,0.3333333333333333,0.48514851485148514,0.019801980198019802,0.49504950495049505,0.6287878787878788,0.3637241849451663,0.0,0.0,0.8154697490050367,1.0,0.21874553350820933,0.37052814859553823,0.5348878337545903,0.6427876096865395,-0.7660444431189779,0.2,0.0,0.0,0.6026764749120166,0.9666666666666667,0.21874553350820933,0.37052814859553823,0.8143797271639357,0.3888888888888889,0.2380903766075748,1.0,0.8026315789473685,0.48514851485148514,0.019801980198019802,0.49504950495049505,0.0
history_5m_6m,2026-03-24 10:00:00+00:00,morning,pullback,LONG,-9.254508149328728,-1.839247853221416,0,5.031680821657392,0.15,0.5425345435318799,0.21782178217821782,1.0227437339750374,0.0,0.25,-3.7053690357610143,0.7727272727272727,6797,0.0,1.0,0.26690560431816257,0.56,0.42000000000000004,0.0,0.4166666666666667,0.6666666666666666,0.09090909090909091,0.13636363636363635,0.7727272727272727,0.5774647887323944,0.3669635270812558,0.0,0.5681818181818181,0.36286888527783734,1.0,0.25712084010405495,0.35139848147554176,0.5466940093510182,0.49999999999999994,-0.8660254037844387,0.4,0.0,1.0,0.43786246364152004,0.5,0.25712084010405495,0.3042596607897984,0.5648373115938099,0.4166666666666667,0.5028140873145964,1.0,0.5804195804195804,0.09090909090909091,0.13636363636363635,0.7727272727272727,0.0
history_5m_6m,2026-03-25 15:45:00+00:00,day,pullback,LONG,-7.62607159479035,-2.242914985148265,0,3.4000716234397257,0.15,0.5650234879192382,0.896551724137931,0.9436862712746147,0.0,0.25,-4.527372092664321,0.8846153846153846,7043,0.0,0.0,0.23170827905525554,0.42,0.21999999999999997,1.0,0.65625,0.6666666666666666,0.11538461538461539,0.0,0.8846153846153846,0.5285714285714286,0.5020881397953043,0.0,0.0,0.7874939437337896,0.5,0.2092786796297439,0.23464579231213709,0.6214390212634008,-0.8314696123025452,-0.5555702330196022,0.6,0.0,0.0,0.5443924471941881,0.7166666666666667,0.2092786796297439,0.23464579231213709,0.5269930767167968,0.65625,0.25367112682393195,0.7694690846992603,0.7755102040816326,0.11538461538461539,0.0,0.8846153846153846,0.0
history_5m_6m,2026-03-26 09:05:00+00:00,morning,pullback,LONG,-10.000728409276991,-1.7287217054627608,0,5.785042426247491,0.15,0.5548390817245902,0.27450980392156865,0.9830152290183308,0.0,0.25,-3.3975811142377244,0.8214285714285714,7138,0.0,0.0,0.3862417314933778,0.9,0.22999999999999998,0.0,0.37847222222222227,0.3333333333333333,0.0,0.17857142857142858,0.8214285714285714,0.653179190751445,0.38720170311614555,0.0,0.0,0.5149091387141208,1.0,0.22363708071181168,0.42118316867391203,0.4613681199618656,0.6915130557822691,-0.7223639620597558,0.2,0.0,1.0,0.5633638395350133,0.31666666666666665,0.08945483228472467,0.42118316867391203,0.5475047212009995,0.3784722222222222,0.3478799033294848,0.42242559690008874,0.6420454545454546,0.0,0.17857142857142858,0.8214285714285714,0.0
history_5m_6m,2026-03-27 14:05:00+00:00,day,pullback,LONG,-10.935982157671535,-1.6141913244141854,0,6.774898360725839,0.1504173803642126,0.596894366524653,0.6483516483516484,1.2034392368319464,0.0,0.25,-7.4815845017001665,0.6271186440677966,7376,1.0,0.0,0.25969524947837447,0.72,0.020000000000000018,0.0,0.5868055555555556,0.6666666666666666,0.3728813559322034,0.0,0.6271186440677966,0.7837837837837838,0.5114658512297698,0.6864406779661016,0.0,0.7851127436402573,0.5,0.076597453515293,0.27766576899293716,0.4682713828597299,-0.5187732581605216,-0.8549118706729465,0.6,0.0,0.0,0.5702143323890185,0.8666666666666667,0.07021433238901859,0.27766576899293716,0.6474113540238853,0.5868055555555556,0.3149006422295379,0.21277070420914723,0.5087719298245614,0.3728813559322034,0.0,0.6271186440677966,0.0
history_5m_6m,2026-03-28 15:00:00+00:00,day,pullback,LONG,-0.46253873827706826,-0.31641870235421066,0,1.4617932974116223,0.17763177600000005,0.7048880000000001,30.0,2.1225396767737412,0.0,0.25,-37.46968699321738,0.5333333333333333,7535,0.0,1.0,0.21711173144276324,1.0,0.0,1.0,0.625,0.6666666666666666,0.4666666666666667,0.0,0.5333333333333333,0.5692307692307692,0.5537063095924364,0.0,0.5,1.0,1.0,0.48910328133662223,0.6463150503376793,0.9706887453056217,-0.7071067811865475,-0.7071067811865477,0.6,0.0,0.0,0.7794875893352127,1.0,0.48910328133662223,0.6463150503376793,0.9708918530789531,0.625,0.0,0.2794875893352127,0.5942028985507246,0.4666666666666667,0.0,0.5333333333333333,0.0
