variant,n_trades,profit_factor,total_pnl_net_rub,pnl_without_top_1_trade,winrate,delta_pf_vs_baseline,delta_pnl_wo_top1_vs_baseline,classification
baseline_all_factors,8,0.6018781364142747,-155.68104404527577,-285.83978333275195,0.5,0.0,0.0,baseline
drop_impulse_strength,8,0.6499454643191878,-143.27812176611602,-292.3492999093729,0.5,0.04806732790491308,-6.5095165766209675,harmful
drop_atr_expansion,6,0.44417335763839566,-227.40598313403248,-361.32562477254703,0.3333333333333333,-0.15770477877587902,-75.48584143979508,useful
drop_retest_speed,6,0.418135811400264,-237.310998330605,-362.21003750234354,0.3333333333333333,-0.18374232501401067,-76.37025416959159,useful
drop_htf_score,4,1.0493442438678435,7.991969733813491,-114.99930083113671,0.5,0.44746610745356885,170.84048250161524,harmful
drop_ema_distance,8,0.5575670049498097,-188.14896083122446,-310.0476294567652,0.5,-0.04431113146446497,-24.20784612401326,useful
drop_candle_structure,6,1.5272428840835375,84.3893068325818,-42.28381565704501,0.6666666666666666,0.9253647476692628,243.55596767570694,harmful
